No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
1,きび,170,605,18.02,2.89,124.27
2,道明寺粉,160,595,11.36,1.12,128.64
3,米麹,200,572,11.6,3.4,118.4
4,小麦胚芽,130,554,41.6,15.08,62.79
5,米,150,534,9.15,1.35,115.65
6,コーンミール,139,505,11.54,5.56,100.64
7,グルテン粉,110,481,79.2,10.67,11.66
8,ひえ,130,477,12.61,4.81,94.12
9,押し麦,140,476,8.68,1.82,108.92
10,あわ,130,473,13.65,3.51,95.03
11,コーンフラワー,130,472,8.58,3.64,98.93
12,上新粉,130,471,8.06,1.17,102.05
13,コーングリッツ,130,462,10.66,1.3,99.32
14,もろこし,130,458,13.39,6.11,92.43
15,とうもろこし玄穀,130,455,11.18,6.5,91.78
16,白玉粉,120,443,7.56,1.2,96
17,アルファ化米,110,426,6.38,0.77,93.72
18,小麦粉,110,405,8.8,1.87,83.49
19,中力粉,110,405,9.9,1.98,82.28
20,強力粉,110,403,12.87,1.98,78.76
21,ホットケーキミックス,110,403,8.36,4.62,81.84
22,もろこし精白粒,110,400,10.45,2.86,81.51
23,全層粉,110,397,13.2,3.41,76.56
24,二番粉,110,396,11.22,2.97,78.76
25,蕎麦粉,110,395,6.6,1.76,85.36
26,三番粉,110,394,16.5,3.96,71.61
27,ライ麦粉,110,386,9.35,1.76,83.38
28,天ぷら粉,110,384,8.25,1.76,83.71
29,小麦,110,371,11.66,3.41,79.42
30,ライ麦,110,367,13.97,2.97,77.77
31,そば米,100,364,9.6,2.5,73.7
32,全粒粉,110,361,14.08,3.19,75.02
33,大麦麺,260,317,12.48,1.56,63.18
34,ピザクラスト,115,308,10.47,3.45,58.77
35,オートミール,80,304,10.96,4.56,55.28
36,干し芋,100,303,3.1,0.6,71.9
37,蒸し中華めん,150,297,7.95,2.55,57.6
38,ブルーベリーパイ,122.3,274,4.61,14.13,31.17
39,麦焦がし,70,274,8.75,3.5,53.97
40,ビーフン,50,189,3.5,0.8,39.95
41,ゆで栗,100,167,3.5,0.6,36.7
42,パン粉,40,149,5.84,2.72,25.36
43,さつまいも団子,80.3,132,1.8,0.24,29.77
44,米粒麦,30,103,2.1,0.63,22.86
45,粟餅,40,84,1.76,0.32,18.6
46,アマランサス,15,54,1.91,0.9,9.74
47,ハトムギ,5,18,0.67,0.07,3.61
